Order/adjustment ID  ,Type ,Order created time,Order settled time,Currency,Total settlement amount,Total Revenue,Subtotal after seller discounts,Subtotal before discounts,Seller discounts,Refund subtotal after seller discounts,Refund subtotal before seller discounts,Refund of seller discounts,Total Fees,Transaction fee,TikTok Shop commission fee,Credit card installment - Interest rate cost,Seller shipping fee,Actual shipping fee,Platform shipping fee discount,Customer shipping fee,Actual return shipping fee,Refunded customer shipping fee,Shipping subsidy,Affiliate Commission,Affiliate commission before PIT (personal income tax),Personal income tax withheld from affiliate commission,Affiliate partner commission,Affiliate Shop Ads commission,Affiliate Shop Ads commission before PIT,Personal income tax withheld from affiliate Shop Ads commission,Affiliate commission deposit,Affiliate commission refund,Affiliate Partner shop ads commission,SFP service fee,Bonus cashback service fee,LIVE Specials service fee,Voucher Xtra service fee,EAMS Program service fee,Brands Crazy Deals/Flash Sale service fee,TikTok PayLater program fee,Commerce growth fee,Infrastructure fee,Campaign resource fee,Pre-order service fee,,Ajustment amount,Related order ID  ,Customer payment,Customer refund,Seller co-funded voucher discount,Refund of seller co-funded voucher discount,Platform discounts,Refund of platform discounts,Platform co-funded voucher discounts,Refund of platform co-funded voucher discounts,Seller shipping fee discount,Estimated package weight (g),Actual package weight (g),Shopping center items,Customer's bank for payment
580839914708829673,Order,2025/10/20,2025/10/31,THB,144.61,172.26,172.26,198,-25.74,0,0,0,-27.65,-5.53,-11.06,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.06,0,0,0,,0,580839914708829673,172.26,0,0,0,0,0,0,0,0,1000,1000,/,
580822657266583457,Order,2025/10/19,2025/10/29,THB,73.14,87.12,87.12,99,-11.88,0,0,0,-13.98,-2.8,-5.59,0,0,-35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.59,0,0,0,,0,580822657266583457,87.12,0,0,0,0,0,0,0,0,500,500,/,
580818418530093043,Order,2025/10/18,2025/10/29,THB,71.92,87.12,87.12,99,-11.88,0,0,0,-15.2,-4.02,-5.59,0,0,-38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.59,0,0,0,,0,580818418530093043,125.12,0,0,0,0,0,0,0,0,500,500,/,
580818317201081697,Order,2025/10/18,2025/10/29,THB,72.31,86.13,86.13,99,-12.87,0,0,0,-13.82,-2.76,-5.53,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.53,0,0,0,,0,580818317201081697,86.13,0,0,0,0,0,0,0,0,500,500,1731976570279134792 * 1;,
580894326538339423,Order,2025/10/24,2025/10/25,THB,0.00,0,86,99,-13,-86,-99,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,580894326538339423,86,-86,0,0,0,0,0,0,0,500,0,/,
580771937293796461,Order,2025/10/14,2025/10/25,THB,119.75,148.23,148.23,168,-19.77,0,0,0,-28.48,-4.76,-9.52,0,0,-35,35,0,0,0,0,-14.2,-14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,580771937293796461,148.23,0,0,0,0,0,0,0,0,1000,1000,/,
580765598227728084,Order,2025/10/14,2025/10/24,THB,157.46,174.24,174.24,198,-23.76,0,0,0,-16.78,-5.59,-11.19,0,0,-23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,580765598227728084,174.24,0,0,0,0,0,0,0,0,1000,1000,/,
580762323051316728,Order,2025/10/14,2025/10/24,THB,76.62,86.13,86.13,99,-12.87,0,0,0,-9.51,-3.98,-5.53,0,0,-38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,580762323051316728,124.13,0,0,0,0,0,0,0,0,500,500,/,
580751213750223957,Order,2025/10/13,2025/10/24,THB,79.62,88.11,88.11,99,-10.89,0,0,0,-8.49,-2.83,-5.66,0,0,-35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,580751213750223957,88.11,0,0,0,0,0,0,0,0,500,500,/,
580745734673433703,Order,2025/10/12,2025/10/23,THB,79.62,88.11,88.11,99,-10.89,0,0,0,-8.49,-2.83,-5.66,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,580745734673433703,88.11,0,0,0,0,0,0,0,0,500,500,/,
