Order/adjustment ID  ,Type ,Order created time,Order settled time,Currency,Total settlement amount,Total Revenue,Subtotal after seller discounts,Subtotal before discounts,Seller discounts,Refund subtotal after seller discounts,Refund subtotal before seller discounts,Refund of seller discounts,Total Fees,Transaction fee,TikTok Shop commission fee,Credit card installment - Interest rate cost,Seller shipping fee,Actual shipping fee,Platform shipping fee discount,Customer shipping fee,Actual return shipping fee,Refunded customer shipping fee,Shipping subsidy,Affiliate Commission,Affiliate commission before PIT (personal income tax),Personal income tax withheld from affiliate commission,Affiliate partner commission,Affiliate Shop Ads commission,Affiliate Shop Ads commission before PIT,Personal income tax withheld from affiliate Shop Ads commission,Affiliate commission deposit,Affiliate commission refund,Affiliate Partner shop ads commission,SFP service fee,Bonus cashback service fee,LIVE Specials service fee,Voucher Xtra service fee,EAMS Program service fee,Brands Crazy Deals/Flash Sale service fee,TikTok PayLater program fee,Commerce growth fee,Infrastructure fee,Campaign resource fee,Pre-order service fee,GMV Max Coupon,,Ajustment amount,Related order ID  ,Customer payment,Customer refund,Seller co-funded voucher discount,Refund of seller co-funded voucher discount,Platform discounts,Refund of platform discounts,Platform co-funded voucher discounts,Refund of platform co-funded voucher discounts,Seller shipping fee discount,Estimated package weight (g),Actual package weight (g),Shopping center items,Customer's bank for payment
582302478257326062,Order,2026/01/26,2026/01/31,THB,73.65,89,89,99,-10,0,0,0,-15.35,-2.86,-5.71,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71,-1.07,0,0,0,,0,582302478257326062,89,0,0,0,0,0,0,0,0,500,500,1732164949093811784 * 1;,
582301644295407197,Order,2026/01/26,2026/01/31,THB,35.65,49,49,49,0,0,0,0,-13.35,-1.57,-3.15,0,0,-35,35,0,0,0,0,-4.41,-4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.15,-1.07,0,0,0,,0,582301644295407197,49,0,0,0,0,0,0,0,0,500,500,/,
582289219259172777,Order,2026/01/25,2026/01/31,THB,163.48,196,196,196,0,0,0,0,-32.52,-6.29,-12.58,0,0,-48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.58,-1.07,0,0,0,,0,582289219259172777,196,0,0,0,0,0,0,0,0,2000,2000,/,
582286673089037581,Order,2026/01/25,2026/01/31,THB,56.86,69,69,79,-10,0,0,0,-12.14,-2.21,-4.43,0,0,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.43,-1.07,0,0,0,,0,582286673089037581,69,0,0,0,0,0,0,0,0,500,500,/,
582286286332790314,Order,2026/01/25,2026/01/31,THB,181.11,217,217,257,-40,0,0,0,-35.89,-6.96,-13.93,0,0,-48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.93,-1.07,0,0,0,,0,582286286332790314,216.79,0,0,0,0.21,0,0,0,0,1500,1500,/,
582286158431421679,Order,2026/01/25,2026/01/31,THB,108.71,126,126,148,-22,0,0,0,-17.29,-0.04,-8.09,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.09,-1.07,0,0,0,,0,582286158431421679,1.26,0,0,0,124.74,0,0,0,0,1000,1000,/,
582285822835787302,Order,2026/01/25,2026/01/31,THB,47.24,59,59,69,-10,0,0,0,-11.76,-3.11,-3.79,0,0,-38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.79,-1.07,0,0,0,,0,582285822835787302,97,0,0,0,0,0,0,0,0,500,500,/,
582285730753054506,Order,2026/01/25,2026/01/31,THB,65.64,89,89,99,-10,0,0,0,-23.36,-2.86,-5.71,0,0,-38,38,0,0,0,0,-8.01,-8.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71,-1.07,0,0,0,,0,582285730753054506,89,0,0,0,0,0,0,0,0,500,500,/,
582283095674684433,Order,2026/01/25,2026/01/31,THB,73.65,89,89,139,-50,0,0,0,-15.35,-2.86,-5.71,0,0,-35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71,-1.07,0,0,0,,0,582283095674684433,89,0,0,0,0,0,0,0,0,500,500,/,
582282795019306185,Order,2026/01/25,2026/01/31,THB,38.38,47,47,59,-12,0,0,0,-8.62,-1.51,-3.02,0,0,-30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.02,-1.07,0,0,0,,0,582282795019306185,47,0,0,0,0,0,0,0,0,500,500,/,
582281694165698431,Order,2026/01/25,2026/01/31,THB,82.03,99,99,119,-20,0,0,0,-16.97,-3.18,-6.36,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.36,-1.07,0,0,0,,0,582281694165698431,99,0,0,0,0,0,0,0,0,500,500,1733883534318405192 * 1;,
582275209427060175,Order,2026/01/24,2026/01/31,THB,31.68,39,39,49,-10,0,0,0,-7.32,-1.25,-2.5,0,0,-92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,-1.07,0,0,0,,0,582275209427060175,39,0,0,0,0,0,0,0,0,500,500,/,
582274394038109957,Order,2026/01/24,2026/01/31,THB,73.65,89,89,119,-30,0,0,0,-15.35,-2.86,-5.71,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71,-1.07,0,0,0,,0,582274394038109957,89,0,0,0,0,0,0,0,0,500,500,/,
582274044773304013,Order,2026/01/24,2026/01/31,THB,64.41,78,78,98,-20,0,0,0,-13.59,-2.5,-5.01,0,0,-38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.01,-1.07,0,0,0,,0,582274044773304013,78,0,0,0,0,0,0,0,0,1000,1000,/,
582350784916325804,Order,2026/01/29,2026/01/30,THB,0.00,0,49,49,0,-49,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,582350784916325804,49,-49,0,0,0,0,0,0,0,500,0,/,
582290497809582012,Order,2026/01/25,2026/01/30,THB,40.06,49,49,49,0,0,0,0,-8.94,-1.57,-3.15,0,0,-35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.15,-1.07,0,0,0,,0,582290497809582012,49,0,0,0,0,0,0,0,0,500,500,1733370823505577544 * 1;,
582286668655330322,Order,2026/01/25,2026/01/30,THB,188.66,226,226,266,-40,0,0,0,-37.34,-7.25,-14.51,0,0,-48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.51,-1.07,0,0,0,,0,582286668655330322,226,0,0,0,0,0,0,0,0,2000,2000,/,
582285833677276238,Order,2026/01/25,2026/01/30,THB,82.03,99,99,139,-40,0,0,0,-16.97,-3.18,-6.36,0,0,-35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.36,-1.07,0,0,0,,0,582285833677276238,99,0,0,0,0,0,0,0,0,500,500,/,
582282770951800604,Order,2026/01/25,2026/01/30,THB,48.46,59,59,69,-10,0,0,0,-10.54,-1.89,-3.79,0,0,-35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.79,-1.07,0,0,0,,0,582282770951800604,59,0,0,0,0,0,0,0,0,500,500,/,
582281681826055442,Order,2026/01/25,2026/01/30,THB,44.33,59,59,69,-10,0,0,0,-14.67,-1.89,-3.79,0,0,-35,35,0,0,0,0,-4.13,-4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.79,-1.07,0,0,0,,0,582281681826055442,59,0,0,0,0,0,0,0,0,500,500,/,
